String,Authors,Year,Title,Series,Suffix,DOI
"Roberts, C.D.; Paulin, C.D. (1997). First record of the Eucla cod Euclichthys polynemus McCulloch, (Teleostei, Paracanthopterygii, Euclichthyidae) from New Caledonia, southwest Pacific Ocean, with notes on morphological characters. <em>in: Séret, B. (Ed.) Résultats des Campagnes MUSORSTOM 17. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 174: 43-50.","Roberts, C.D.; Paulin, C.D.",1997,"First record of the Eucla cod Euclichthys polynemus McCulloch, (Teleostei, Paracanthopterygii, Euclichthyidae) from New Caledonia, southwest Pacific Ocean, with notes on morphological characters","in: Séret, B. (Ed.) Résultats des Campagnes MUSORSTOM 17. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",174: 43-50,
"De Blauwe, H. (2002). Determinatie en verspreiding van Tricellaria inopinata d'Hondt & Occhipinti Ambrogi (Bryozoa, Cheilostomatida), een recente immigrant uit het noorden van de Stille Oceaan. <em>Het Zeepaard.</em> 62(3): 73-88.","De Blauwe, H.",2002,"Determinatie en verspreiding van Tricellaria inopinata d'Hondt & Occhipinti Ambrogi (Bryozoa, Cheilostomatida), een recente immigrant uit het noorden van de Stille Oceaan",Het Zeepaard,62(3): 73-88,
"Giffen, M.H. (1976). A further account of the marine littoral diatoms of the Saldanha Bay Lagoon, Cape Province, South Africa. <em>Botanica Marina.</em> 19(6): 379-394.","Giffen, M.H.",1976,"A further account of the marine littoral diatoms of the Saldanha Bay Lagoon, Cape Province, South Africa",Botanica Marina,19(6): 379-394,
"Cairns SD, Zibrowius H. (1997). Cnidaria Anthozoa: Azooxanthellate Scleractinia from the Philippine and Indonesian regions. <em>in: Crosnier, A. et al. (Ed.) Résultats des Campagnes MUSORSTOM 16. Campagne Franco-Indonésienne KARUBAR. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 172: 27-244.","Cairns SD, Zibrowius H",1997,Cnidaria Anthozoa: Azooxanthellate Scleractinia from the Philippine and Indonesian regions,"in: Crosnier, A. et al. (Ed.) Résultats des Campagnes MUSORSTOM 16. Campagne Franco-Indonésienne KARUBAR. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",172: 27-244,
"Vincx, M.; Heip, C.H.R. (1987). The use of meiobenthos in pollution monitoring studies: a review. <em>CM Documents - ICES.</em> (E33L:1166). ICES: [s.l.]. 18 pp.","Vincx, M.; Heip, C.H.R.",1987,The use of meiobenthos in pollution monitoring studies: a review,CM Documents - ICES,(E33L:1166). ICES: [s.l.]. 18 pp,
"Harasewych M.G. (1991) Mollusca Gastropoda : Columbariform gastropods of New Caledonia. In: A Crosnier & P. Bouchet (eds), Résultats des Campagnes Musorstom 7. <i>Mémoires du Muséum National d\'Histoire Naturelle</i>, ser. A, 150: 243-259.","Harasewych, M. G.",1991,"Mollusca Gastropoda : Columbariform gastropods of New Caledonia. In: A Crosnier & P. Bouchet (eds), Résultats des Campagnes Musorstom 7. <i>Mémoires du Muséum National d\'Histoire Naturelle</i>, ser",A,150: 243-259,
"Kunz, H. (1937). Zur Kenntnis der Harpacticoiden des Kustengrundwassers der Kieler Forde. (Studien an marinen Copepoden. I). <em>Kieler Meeresforschungen.</em> 2(1):95-115, figs. 1-51. (x-1937).","Kunz, H.",1937,Zur Kenntnis der Harpacticoiden des Kustengrundwassers der Kieler Forde. (Studien an marinen Copepoden. I).,Kieler Meeresforschungen,"2(1):95-115, figs. 1-51. (x-1937)",
"Noodt, W. (1955). Copepoda Harpacticoidea von Teneriffa (Kanarische Inseln). <em>Zoologischer Anzeiger.</em> 154(9-10):200-222, figs. 1-32.","Noodt, W.",1955,Copepoda Harpacticoidea von Teneriffa (Kanarische Inseln).,Zoologischer Anzeiger,"154(9-10):200-222, figs. 1-32.",
"Van Ryckegem, G.; Van Braeckel, A.; Elsen, R.; Speybroeck, J.; Vandevoorde, B.; Mertens, W.; Breine, J.; De Beukelaer, J.; De Regge, N.; Hessel, K.; Soors, J.; Terrie, T.; Van Lierop, F.; Van den Bergh, E. (2016). MONEOS – Geïntegreerd datarapport INBO: Toestand Zeeschelde 2015: monitoringsoverzicht en 1ste lijnsrapportage Geomorfologie, diversiteit Habitats en diversiteit Soorten. <em>Rapport van het Instituut voor Natuur- en Bosonderzoek, INBO.R.2016.12078839. Instituut voor Natuur- en Bosonderzoek: Brussel.</em> 178 pp.","Van Ryckegem, G.; Van Braeckel, A.; Elsen, R.; Speybroeck, J.; Vandevoorde, B.; Mertens, W.; Breine, J.; De Beukelaer, J.; De Regge, N.; Hessel, K.; Soors, J.; Terrie, T.; Van Lierop, F.; Van den Bergh, E.",2016,"MONEOS – Geïntegreerd datarapport INBO: Toestand Zeeschelde 2015: monitoringsoverzicht en 1ste lijnsrapportage Geomorfologie, diversiteit Habitats en diversiteit Soorten","Rapport van het Instituut voor Natuur- en Bosonderzoek, INBO.R.2016.12078839. Instituut voor Natuur- en Bosonderzoek: Brussel",178 pp,
"Banner, A. H.; Banner, D. M. (1981). Crustacés Décapodes: Alpheidae. <em>in: Forest, J. (Ed.) Résultats des campagnes MUSORSTOM: I. Philippines (18-28 Mars 1976). Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 91: 217-235.","Banner, A. H.; Banner, D. M.",1981,Crustacés Décapodes: Alpheidae,"in: Forest, J. (Ed.) Résultats des campagnes MUSORSTOM: I. Philippines (18-28 Mars 1976). Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",91: 217-235,
"(2010). Status of species and habitats. Indicators for the Scheldt estuary. <em>Commissioned by the Maritime Access Division, project group EcoWaMorSe, Flemish-Dutch Scheldt Commission. VLIZ Information Sheets, 226. Flanders Marine Institute (VLIZ): Oostende.</em> 14 pp.",,2010,Status of species and habitats. Indicators for the Scheldt estuary,"Commissioned by the Maritime Access Division, project group EcoWaMorSe, Flemish-Dutch Scheldt Commission. VLIZ Information Sheets, 226. Flanders Marine Institute (VLIZ): Oostende",14 pp,
"Komai, T. (2006). Revision of the Glyphocrangon caeca species group (Crustacea, Decapoda, Glyphocrangonidae). <em>in: Richer de Forges, B. et al. (Ed.) Tropical Deep-Sea Benthos 24. Mémoires du Muséum national d'Histoire naturelle (1993).</em> 193: 243-264.","Komai, T.",2006,"Revision of the Glyphocrangon caeca species group (Crustacea, Decapoda, Glyphocrangonidae)","in: Richer de Forges, B. et al. (Ed.) Tropical Deep-Sea Benthos 24. Mémoires du Muséum national d'Histoire naturelle (1993)",193: 243-264,
"Guinot, D. (1995). Crustacea Decapoda Brachyura: Révision des Homolodromiidae Alcock, 1900. <em>in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 13. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 163: 155-282.","Guinot, D.",1995,"Crustacea Decapoda Brachyura: Révision des Homolodromiidae Alcock, 1900","in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 13. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",163: 155-282,
"Barash, A.; Danin, Z. (1982). Mediterranean Mollusca of Israel and Sinai. Composition and distribution. <em>Israel Journal of Zoology.</em> 31: 86-118.","Barash, A.; Danin, Z.",1982,Mediterranean Mollusca of Israel and Sinai. Composition and distribution,Israel Journal of Zoology,31: 86-118,10.1080/00212210.1982.10688524
"Kihara, T.C. & R. Huys. (2009). A new genus of Ectinosomatidae (Copepoda, Harpacticoida) from sublittoral sediments in Ubatuba, São Paulo State, Brazil, including an updated key to genera and notes on Noodtiella Wells, 1965. <em>ZooKeys.</em> 17: 57-88.","Kihara, T.C. & R. Huys",2009,"A new genus of Ectinosomatidae (Copepoda, Harpacticoida) from sublittoral sediments in Ubatuba, São Paulo State, Brazil, including an updated key to genera and notes on Noodtiella Wells, 1965.",ZooKeys,17: 57-88.,10.3897/zookeys.17.202
"Vincx, M.; Furstenberg, J. P. (1988). Three new Xyalidae species (Nematoda) from South Africa, with a redefinition of the genus Xyala Cobb, 1920. <em>Cah. Biol. Mar.</em> 29: 497-512.","Vincx, M.; Furstenberg, J. P.",1988,"Three new Xyalidae species (Nematoda) from South Africa, with a redefinition of the genus Xyala Cobb, 1920",Cah. Biol. Mar.,29: 497-512,
"Simon, E.; Willems, G. (1999). Gwynia capsula (Jeffreys, 1859) and other recent brachiopods from submarine caves in Croatia. <em>Bull. K. Belg. Inst. Nat. Wet.</em> 69: 15-21.","Simon, E.; Willems, G.",1999,"Gwynia capsula (Jeffreys, 1859) and other recent brachiopods from submarine caves in Croatia",Bull. K. Belg. Inst. Nat. Wet.,69: 15-21,
"Gruvel, A. (1928). Repartition geographique de quelques crustaces comestibles sur les cotes d'Egypte et de Syrie. <em>Comptes rendus de la societe de biogeographie.</em> 5(39): 45-46.","Gruvel, A.",1928,Repartition geographique de quelques crustaces comestibles sur les cotes d'Egypte et de Syrie.,Comptes rendus de la societe de biogeographie,5(39): 45-46,
"Sartoni, G.; Boddi, S. (2002). <i>Ceramium bisporum</i> (Ceramiaceae, Rhodophyta), a new record for the Mediterranean algal flora. <em>Botanica marina.</em> 45: 566-570.","Sartoni, G.; Boddi, S.",2002,"<i>Ceramium bisporum</i> (Ceramiaceae, Rhodophyta), a new record for the Mediterranean algal flora",Botanica marina,45: 566-570,
"Grootaert, P.; De Bruyn, L.; De Meyer, M. (1991). Catalogue of the Diptera of Belgium. <em>Studiedocumenten van het Koninklijk Belgisch Instituut voor Natuurwetenschappen.</em> 70: 338pp.","Grootaert, P.; De Bruyn, L.; De Meyer, M.",1991,Catalogue of the Diptera of Belgium,Studiedocumenten van het Koninklijk Belgisch Instituut voor Natuurwetenschappen,70: 338pp,
"De Troch, M., F. Fiers & M. Vincx. (2001). Alpha and beta diversity of harpacticoid copepods in a tropical seagrass bed: the relation between diversity and species' range size distribution. <em>Marine Ecology Progress Series.</em> 215: 225-236.","De Troch, M., F. Fiers & M. Vincx",2001,Alpha and beta diversity of harpacticoid copepods in a tropical seagrass bed: the relation between diversity and species' range size distribution,Marine Ecology Progress Series,215: 225-236,10.3354/meps215225
"Decraemer, W. (1974). Scientific report on the Belgian expedition to the Great Barrier Reef in 1967. Nematodes II. Desmoscolex-species (Nematoda-Desmoscolecida) from Yonge Reef, Lizard Island and Nymphe Island. <em>Zoologica Scripta.</em> 3: 167-176.","Decraemer, W.",1974,"Scientific report on the Belgian expedition to the Great Barrier Reef in 1967. Nematodes II. Desmoscolex-species (Nematoda-Desmoscolecida) from Yonge Reef, Lizard Island and Nymphe Island",Zoologica Scripta,3: 167-176,
"Sars, G. O. (1885). Description d'une espèce nouvelle de Mysis. Mysis kervillei, G.O. Sars. <em>Bulletin de la Société des Amis des Sciences naturelles de Rouen.</em> 21(3e Série): 92-98, plate V.","Sars, G. O.",1885,"Description d'une espèce nouvelle de Mysis. Mysis kervillei, G.O. Sars",Bulletin de la Société des Amis des Sciences naturelles de Rouen,"21(3e Série): 92-98, plate V",
"Sars, G.O. (1920). Copepoda Supplement. Parts V & VI. Harpacticoida (continued). <em>An Account of the Crustacea of Norway, with short descriptions and figures of all the species. Bergen Museum, Bergen.</em> 7:53-72, pls. 33-48.","Sars, G.O.",1920,Copepoda Supplement. Parts V & VI. Harpacticoida (continued).,"An Account of the Crustacea of Norway, with short descriptions and figures of all the species. Bergen Museum, Bergen","7:53-72, pls. 33-48.",
"Berge, J.; De Broyer, C.; Vader, W. (2000). Revision of the Antarctic and sub-Antarctic species of the family Stegocephalidae (Crustacea: Amphipoda) with description of two new species. <em>Bulletin de l'Institut Royal des Sciences Naturelles de Belgique: Biologie.</em> 70: 217-233; figs. 1-5.","Berge, J.; De Broyer, C.; Vader, W.",2000,Revision of the Antarctic and sub-Antarctic species of the family Stegocephalidae (Crustacea: Amphipoda) with description of two new species.,Bulletin de l'Institut Royal des Sciences Naturelles de Belgique: Biologie.,70: 217-233; figs. 1-5.,
"Sars, G.O. (1911). An account of the Crustacea of Norway, with short descriptions and figures of all the species: V. Copepoda Harpacticoida. <em>Bergens Museum: Bergen.</em> 449, Plates I-CCXXX & suppl. 1-54 pp.","Sars, G.O.",1911,"An account of the Crustacea of Norway, with short descriptions and figures of all the species: V. Copepoda Harpacticoida",Bergens Museum: Bergen,"449, Plates I-CCXXX & suppl. 1-54 pp.",
"Beneden, P.J. (1853). Notice sur un genre noveau de la tribu des Caligiens (genre Kroyeria, Van Ben.). <em>Bulletins de l'Académie royale des sciences, des lettres et des beaux-arts de Belgique.</em> 20(1): 23-30.","Beneden, P.J.",1853,"Notice sur un genre noveau de la tribu des Caligiens (genre Kroyeria, Van Ben.)","Bulletins de l'Académie royale des sciences, des lettres et des beaux-arts de Belgique",20(1): 23-30.,
"Abbott, R. T. (1959). The family Vasidae in the Indo-Pacific. <em>Indo-Pacific Mollusca.</em> 1 (1): 15-32.","Abbott, R. T.",1959,The family Vasidae in the Indo-Pacific,Indo-Pacific Mollusca,1 (1): 15-32,
"Volkmer-Ribeiro, C.; Mothes De Moraes, B. (1981). <i>Drulia ctenosclera</i>, a new species of neotropical spongillid. <em>Iheringia. Série Zoologia.</em> 60: 117-121.","Volkmer-Ribeiro, C.; Mothes De Moraes, B.",1981,"<i>Drulia ctenosclera</i>, a new species of neotropical spongillid.",Iheringia. Série Zoologia,60: 117-121,
"Rabaut, M.; Degraer, S.; Schrijvers, J.; Derous, S.; Bogaert, D.; Maes, F.; Vincx, M.; Cliquet, A. (2009). Policy analysis of the ‘MPA-process' in temperate continental shelf areas. <em>Aquatic Conservation: Marine and Freshwater Ecosystems.</em> 19(5): 596-608.","Rabaut, M.; Degraer, S.; Schrijvers, J.; Derous, S.; Bogaert, D.; Maes, F.; Vincx, M.; Cliquet, A.",2009,Policy analysis of the ‘MPA-process' in temperate continental shelf areas,Aquatic Conservation: Marine and Freshwater Ecosystems,19(5): 596-608,10.1002/aqc.985
"Díaz, M.C. (2005). Common sponges from shallow marine habitats from Bocas del Toro region, Panama. <em>Caribbean Journal of Science.</em> 41(3): 465-475.","Díaz, M.C.",2005,"Common sponges from shallow marine habitats from Bocas del Toro region, Panama",Caribbean Journal of Science,41(3): 465-475,
"Marshall B.A. (2001). The genus <i>Acesta</i> H. & A. Adams, 1858 in the south-west Pacific (Bivalvia: Limidae). <em>in: Bouchet P. et al. (eds) Tropical Deep-Sea Benthos. Mémoires du Muséum national d'Histoire naturelle.</em> ser. A, Zoologie, 185: 97-109.",Marshall B.A.,2001,"The genus <i>Acesta</i> H. & A. Adams, 1858 in the south-west Pacific (Bivalvia: Limidae)",in: Bouchet P. et al. (eds) Tropical Deep-Sea Benthos. Mémoires du Muséum national d'Histoire naturelle.,"ser. A, Zoologie, 185: 97-109",
"Moens, T.; Vierstraete, A.; Vincx, M. (1996). Life strategies in two bacterivorous marine nematodes: preliminary results. <em>Marine Ecology.</em> 17 (1-3): 509-518.","Moens, T.; Vierstraete, A.; Vincx, M.",1996,Life strategies in two bacterivorous marine nematodes: preliminary results,Marine Ecology,17 (1-3): 509-518,
"Fourmanoir, P. (1985). Poissons. Liste et description de cinq espèces nouvelles (MUSORSTOM II). <em>in: Forest, J. (Ed.) Résultats des Campagnes MUSORSTOM I et II Philippines (1976, 1980). Tome 2. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 133: 31-54.","Fourmanoir, P.",1985,Poissons. Liste et description de cinq espèces nouvelles (MUSORSTOM II),"in: Forest, J. (Ed.) Résultats des Campagnes MUSORSTOM I et II Philippines (1976, 1980). Tome 2. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",133: 31-54,
"Sars, G.O. (1908). Copepoda Harpacticoida. Parts XXI & XXII. Laophontidae (continued). <em>An Account of the Crustacea of Norway, with short descriptions and figures of all the species. Bergen Museum, Bergen.</em> 5:241-256, pls. 161-176.","Sars, G.O.",1908,Copepoda Harpacticoida. Parts XXI & XXII. Laophontidae (continued).,"An Account of the Crustacea of Norway, with short descriptions and figures of all the species. Bergen Museum, Bergen","5:241-256, pls. 161-176.",
"Holmes, J.M.C. (1998). A checklist of the Siphonostomatoida (Crustacea: Copepoda) of Ireland. <em>Bulletin of the Irish Biogeographical Society, Dublin.</em> 22(2): 194-228.","Holmes, J.M.C.",1998,A checklist of the Siphonostomatoida (Crustacea: Copepoda) of Ireland.,"Bulletin of the Irish Biogeographical Society, Dublin",22(2): 194-228,
"Dominguez-Granda, L.; Fockedey, N.; De Mey, M.; Beyst, B.; Cornejo, M.d.P.; Calderon, J.; Vincx, M. (2004). Spatial patterns of the surf zone hyperbenthic fauna of Valdivia Bay (Ecuador). <em>Hydrobiologia.</em> 529: 205-224.","Dominguez-Granda, L.; Fockedey, N.; De Mey, M.; Beyst, B.; Cornejo, M.d.P.; Calderon, J.; Vincx, M.",2004,Spatial patterns of the surf zone hyperbenthic fauna of Valdivia Bay (Ecuador),Hydrobiologia,529: 205-224,
"Cleva, R. (1990). Crustacea Decapoda: les genres et les espèces indo-ouest pacifiques de Stylodactylidae. <em>in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 6. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 145, 71-136.","Cleva, R.",1990,Crustacea Decapoda: les genres et les espèces indo-ouest pacifiques de Stylodactylidae,"in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 6. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie","145, 71-136",
"Holthe, T. (1986). Polychaeta Terebellomorpha. <em>Marine Invertebrates of Scandinavia.</em> 7: 1-192.","Holthe, T.",1986,Polychaeta Terebellomorpha,Marine Invertebrates of Scandinavia,7: 1-192,
"Cullinane, J.; Whelan, P. (1981). Ecology, distribution and spread of <i>Cryptonemia hibernica</i> Guiry et Irvine on the south coast. <em>Proceedings of the International Seaweed Symposium.</em> 10: 259-264.","Cullinane, J.; Whelan, P.",1981,"Ecology, distribution and spread of <i>Cryptonemia hibernica</i> Guiry et Irvine on the south coast",Proceedings of the International Seaweed Symposium,10: 259-264,
